LANG_KEY|LANG_1|LANG_2
You can not start this exam|لا يمكنك بدء الاختبار|You can't start this exam
Student Exam|اختبار الطالب|Student Exam
Take Exam|أخذ الاختبار|Take Exam
Finish Exam|انهاء الاختبار|Finish Exam
Exam time run out|انتهى وقت الاختبار|Exam time run out
You can not start this quiz|لا يمكنك البدء بهذا الاختبار|You can't start this quiz
This quiz not start yet|لم يبدأ الاختبار بعد|This quiz not start yet
Finish Quiz|انهاء الاختبار|Finish Quiz
Student Marks|علامات الطالب|Student Marks
Normal Distribution Chart|مخطط التوزيع الطبيعي|Normal Distribution Chart
No. of Student Passed|عدد الطلاب الناجحين|No. of Student Passed
No. of Student with Low Scores|عدد الطلاب ذوي العلامات المتدنية|No. of Student with Low Scores
No. of Student with High Scores|عدد الطلاب ذوي العلامات العالية|No. of Student with High Scores
No. of Student with Full Mark|عدد الطلاب ذوي العلامات التامة|No. of Student with Full Mark
No. of Student Attendees|عدد الطلاب الذين حضرو|No. of Student Attendees
No. of Student Absent|عدد الطلاب الذين تغيبو|No. of Student Absent
Multiple Choice (Only One Answer)|اختيار من متعدد ( إجابة واحدة فقط )|Multiple Choice (Only One Answer)
Multiple Choice (Multiple Answers)|اختيار من متعدد ( عدة إجابات )|Multiple Choice (Multiple Answers)
Hard|صعب|Hard
Medium|متوسط|Medium
Easy|سهل|Easy
Private|خاص|Private
Show on Public|عرض بشكل عام|Show on Public
You have to set correct answer|يجب عليك وضع الإجابة الصحيحة|You have to set correct answer
you have to add choices|يجب عليك وضع الخيارات|you have to add choices
Mark|علامة|Mark
Assignment Name|اسم الوظيفة|Assignment Name
Assignment Description|وصف الوظيفة|Assignment Description
Assignment Mark|علامة الوظيفة|Assignment Mark
Marks|العلامات|Marks
questions for this assignment|اسئلة لهذه الوظيفة|questions for this assignment
Number of questions|عدد الأسئلة|Number of questions
Assignment Date|تاريخ الوظيفة|Assignment Date
Publish|نشر|Publish
Unpublish|غير منشور|Unpublished
Questions for this exam|اسئلة لهذا الامتحان|Questions for this exam
Publish Assignment|نشر الوظيفة|Publish Assignment
Select Sections|اختر شعب|Select Sections
Select value|اختر قيمة|Select value
Exam Name|اسم الاختبار|Exam Name
Exam Date|تاريخ الاختبار|Exam Date
Number of Exams|عدد الاختبارات|Number of Exams
Student Number|رقم الطالب|Student Number
Done|تم|Done
Exams|الاختبارات|Exams
Students number|عدد الطلاب|Students number
questions number|عدد الأسئلة|questions number
Choice|الخيار|Choice
Question Status|حالة السؤال|Question Status
Choose Question Status|اختر حالة السؤال|Choose Question Status
Assignment Question|سؤال الوظيفة|Assignment Question
Enable Attachment|اتاحة ارفاق ملف|Enable Attachment
Exam Mark|علامة الامتحان|Exam Mark
Proctors|المراقبين|Proctors
Student Attendance|حضور الطالب|Student Attendance
Cant edit this exam.|لا يمكن تعديل هذا الاختبار|Can't edit this exam.
Publish Exam|نشر الاختبار|Publish Exam
Publish By Date|نشر بتاريخ|Publish By Date
Publish Now|نشر الان|Publish Now
Start Time|وقت البدء|Start Time
End Time|وقت الانتهاء|End Time
Passed|نجح|Passed
Exams assigned to you|اختبارات تم تعيينك عليها|Exams assigned to you
Course Section ID|رقم شعبة المادة الدراسية|Course Section ID
Students for this Exam|طلاب لهذا الامتحان|Students for this Exam
Student ID|رقم الطالب|Student ID
Question Description|وصف السؤال|Question Description
Used in Exams|مستخدم في الاختبارات|Used in Exams
Quiz Name|اسم الاختبار |Quiz Name
Quiz Mark|علامة الاختبار |Quiz Mark
Questions for this Quiz|اسئلة لهذا الاختبار |Questions for this Quiz
The quiz date has not been published yet.|لم يتم نشر تاريخ الاختبار بعد|The quiz date has not been published yet.
Stop Quiz|ايقاف الاختبار |Stop Quiz
Start Quiz|بدء الاختبار|Start Quiz
High Mark|علامة مرتفعة|High Mark
Lowest Mark|علامة متدنية|Lowest Mark
Median|الوسيط|Median
Start Exam|بدء الاختبار|Start Exam
Time Remaining|المدة المتبقية|Time Remaining
Question number|رقم السؤال|Question number
Quiz Date|تاريخ الاختبار|Quiz Date
Quiz's|اختبارات قصيرة|Quiz's
Record has not Deleted|لم يتم الحذف|Record has not Deleted
Gradebook|دفتر العلامات|Gradebook
Score Must be Greater than 0|يجب أن تكون العلامة أكبر من 0|Score Must be Greater than 0
Score must be less than|يجب أن تكون العلامة أقل من|Score must be less than
Student Score Successfully Saved|تم حفظ علامة الطالب بنجاح|Student Score Successfully Saved
Total # of students|إجمالي عدد الطلاب|Total # of students
Number of passed students|عدد الطلاب الناجحين|Number of passed students
Number of Failed students|عدد الطلاب الراسبين|Number of Failed students
# of Students|عدد الطلاب|# of Students
Option|الخيار|Option
Options|الخيارات|Options
Assessment Method for this course|طرق التقييم لهذه المادة الدراسية|Assessment Method for this course
Overall Mark|العلامة الكلية|Overall Mark
Questions for the selected assessment method|اسئلة لطريقة التقييم المختارة|Questions for the selected assessment method
Please Select 2 different Users|يرجى اختيار مستخدمين مختلفين|Please Select 2 different Users
You must insert this Field|يجب ادخال هذا الحقل|You must insert this Field
Please add at least one Role & Responsibl|يرجى إضافة مسؤوولية واحدة ومسمى وظيفي واحد على الأقل|Please add at least one Role & Responsibl
Please Enter Form Name|يرجى إدخال اسم النموذج|Please Enter Form Name
Statement|البيانات|Statement
Policies & Procedures Managers|مشرفي السياسات والإجراءات|Policies & Procedures Managers
Policy & Procedure Name|اسم السياسة والإجراء|Policy & Procedure Name
Room Management|إدارة الغرف|Room Management
Equipments Management|إدارة المعدات|Equipments Management
This Equipment is mapped with Room, You Can't remove it|هذه المعدات مرتبطة بإحدى الغرف، لا يمكنك اتمام عملية الحذف|This Equipment is mapped with Room, You Can't remove it
Room Number Must Be Larger than 0|رقم الغرفة يجب أن يكون أكبر من 0|Room Number Must Be Larger than 0
This Room is mapped with Meeting, You Can't remove it|هذه الغرفة مرتبطة باجتماع لا يمكن اتمام عملية الحذف|This Room is mapped with Meeting, You Can't remove it
Lab|مختبر|Lab
Office|مكتب|Office
